periodIndex,sampleEvent,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,numberOfServers,requestCancelled,nextPeriodOptimalServers
0,71999.0,37502.0,37502.0,0.6642845714895206,0.7472904735235864,8.324622686790038,37475.0,2.4120158751103262,,,20
1,72000.0,32883.0,32883.0,0.6716540461636712,0.09390190454994239,1.072955630568987,32892.0,1.7660143909519048,19.5,,20
2,72001.0,31363.0,31363.0,0.6663584478525651,0.05401314909539558,0.6268214137678155,31370.0,1.7189953677702647,20.0,,14
3,72000.0,29385.0,29385.0,0.667653564743917,2.0764553370301133,17.701480347115876,29352.0,3.7417898311829805,17.0,71.0,20
4,72000.0,31369.0,31369.0,0.6675380152379738,0.07190976231029862,0.7792087729924447,31392.0,1.7419933942831494,17.0,,19
5,72000.0,36000.0,36000.0,0.6624444444444444,0.4226944907877619,4.658861111111111,35996.0,2.0848240583656783,19.5,,28
6,72000.0,45947.0,45947.0,0.6701634491914598,0.0534398090727186,0.8384442945132435,45944.0,1.7250206075905794,23.5,,28
7,72000.0,53124.0,53124.0,0.667570213086364,0.3446593340416139,5.461749868232814,53125.0,2.0120730956116577,28.0,,29
8,72000.0,59455.0,59455.0,0.6642166344294004,1.1483667993485465,19.447582205029015,59432.0,2.812459562317258,28.5,13.0,30
9,72000.0,62557.0,62557.0,0.6661764470802628,1.6066492198410258,28.4070367824544,62555.0,3.2716111182560264,29.5,58.0,32
10,71999.0,64788.0,64788.0,0.6667901463233932,0.9130375868995674,16.86307649564734,64798.0,2.581287041600543,31.0,9.0,32
11,72000.0,64892.0,64892.0,0.6658756087036923,0.9081636938165304,16.807541761696356,64884.0,2.574025087196772,32.0,1.0,32
12,72000.0,63586.0,63586.0,0.6666090019815682,0.658560003284861,12.023951813292234,63599.0,2.325218251483453,32.0,,30
13,72000.0,61866.0,61866.0,0.6665696828629619,1.257703349532445,22.08844922897876,61856.0,2.922830380986694,31.0,16.0,30
14,72000.0,62878.0,62878.0,0.6658926810649194,1.7551769175223597,31.129313909475492,62869.0,3.420203241009112,30.0,59.0,30
15,72000.0,61231.0,61231.0,0.666002515065898,1.0510285479375763,18.343192173898842,61240.0,2.7157741688259147,30.0,6.0,30
16,72000.0,60997.0,60997.0,0.6652786202600128,0.9710123727155131,16.90925783235241,60999.0,2.6357797294809977,30.0,11.0,30
17,72000.0,60823.0,60823.0,0.6668529996876181,0.930481356622714,16.16830804136593,60819.0,2.59751729463392,30.0,9.0,30
18,72000.0,61580.0,61580.0,0.6687236115621955,1.1797983665705483,20.659564793764208,61586.0,2.847398847645546,30.0,13.0,32
