,periodIndex,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
0,0,43796,43796,0.6678463786647182,0.8248377050188443,10.541875970408256,43773,2.4936617773952663,2.0,18.0,22,37167.0,28634.0
1,1,34033,34033,0.6645902506390856,0.4253073647134979,4.467017306731702,34034,2.08957992196227,0.0,13.0,18,28634.0,20907.0
2,2,24804,24804,0.6680777293984841,0.554685796174997,4.29894371875504,24807,2.2238609238096174,0.0,17.0,13,20907.0,27573.0
3,3,32683,32683,0.6653611969525441,0.5487480651589723,5.459780313924671,32673,2.212580387472703,0.0,16.0,17,27573.0,25738.0
4,4,30526,30526,0.6702810718731573,0.5083321327559212,4.772849374303872,30538,2.179126483910998,0.0,18.0,16,25738.0,29501.0
5,5,34905,34905,0.6679558802463831,0.6114317993206987,6.427932960893855,34901,2.279203203153566,0.0,24.0,18,29501.0,38810.0
6,6,46022,46022,0.6660510190778324,0.4783905744533907,6.597170918256486,46013,2.143845774640403,1.0,27.0,24,38810.0,45292.0
7,7,53393,53393,0.6654992227445545,0.7360600767101544,11.442604835839903,53392,2.402042596374539,0.0,29.0,27,45292.0,48380.0
8,8,57085,57085,0.6686169746868704,0.6505455433457894,10.817657878602084,57080,2.3187030731715303,0.0,32.0,29,48380.0,52560.0
9,9,62157,62157,0.6685489968949595,0.5177778468614673,9.415319272165643,62160,2.18687028224448,0.0,32.0,32,52560.0,54202.0
10,10,63809,63809,0.6666614427431867,0.8175304125681406,15.056684793681145,63805,2.483463787367256,1.0,34.0,32,54202.0,57533.0
11,11,67742,67742,0.6687579345162529,0.7561298156428338,14.75812642083198,67736,2.424889500180544,1.0,33.0,34,57533.0,56690.0
12,12,66607,66607,0.6667016980197277,0.9483880222611676,18.12741904004084,66599,2.61586539471119,3.0,32.0,33,56690.0,54148.0
13,13,63749,63749,0.6654378892217917,0.7556673147079577,13.93352052581217,63754,2.421457461761494,2.0,32.0,32,54148.0,54282.0
14,14,63869,63869,0.6675225852917691,0.8123034194447758,14.947564546180462,63882,2.481059662770408,0.0,30.0,32,54282.0,51316.0
15,15,60349,60349,0.6658436759515485,0.9025011542076892,15.684750368688794,60331,2.5684245125999468,5.0,31.0,30,51316.0,51311.0
16,16,60588,60588,0.6684987126163596,0.6213648771667807,10.97499504852446,60611,2.291038565630658,0.0,30.0,31,51311.0,49743.0
17,17,58754,58754,0.6669503352963202,0.5933525684678744,10.174881710181436,58743,2.260695376260648,0.0,31.0,30,49743.0,52948.0
18,18,62256,62256,0.667517990233873,0.8544478512054285,15.316001670521716,62254,2.521605540626853,2.0,33.0,31,52948.0,55809.0
19,19,65739,65739,0.6687810888513668,0.755270682378421,14.308401405558344,65718,2.4231643478508427,3.0,34.0,33,55809.0,56670.0
20,20,66856,66856,0.6719516572932871,0.6472058403371426,12.5488363048941,66873,2.318553528153365,1.0,32.0,34,56670.0,54088.0
21,21,63685,63685,0.6635628483944414,0.7521956397364505,13.844264740519746,63688,2.4153027143159824,0.0,29.0,32,54088.0,48442.0
22,22,57139,57139,0.6648873798981432,0.6436023151978257,10.751430721573708,57142,2.3082824045666595,0.0,27.0,29,48442.0,46361.0
23,23,54496,54496,0.6645808866705814,1.026908221942714,16.161736641221374,54485,2.6914988478325004,8.0,20.0,27,46361.0,32172.0
