,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
0,0,6.111106374816172,38214,38214,0.4748476655168948,38188,2.1417565904900897,0.0,17.0,20,32188.0,27496.0
1,1,5.961873531714957,32587,32587,0.5284522514097779,32596,2.195418035873945,0.0,16.0,17,27496.0,25411.0
2,2,4.465593768792417,30216,30216,0.4111023724068837,30211,2.069819968409872,0.0,15.0,16,25411.0,23994.0
3,3,4.765314520870076,28488,28488,0.4651572055851784,28494,2.125218931414872,0.0,16.0,15,23994.0,24575.0
4,4,3.863658899355479,29371,29371,0.3306109116094243,29375,1.990672125691032,0.0,18.0,16,24575.0,29456.0
5,5,6.919384912365367,34874,34874,0.5938805907957263,34862,2.2613181441612737,2.0,23.0,18,29456.0,38144.0
6,6,9.120824681588545,45055,45055,0.6374785837077016,45044,2.3037112864096643,0.0,28.0,23,38144.0,46222.0
7,7,10.734513514983412,54624,54624,0.6179097784532036,54622,2.2891857515476803,0.0,31.0,28,46222.0,51243.0
8,8,10.475338204799051,60542,60542,0.5588950133981544,60543,2.228329959285871,0.0,32.0,31,51243.0,53446.0
9,9,13.15940452333238,63061,63061,0.676040775954534,63052,2.341774535585079,2.0,33.0,32,53446.0,54614.0
10,10,11.551349659832407,64508,64508,0.5762627324577716,64514,2.241542179538202,0.0,33.0,33,54614.0,56322.0
11,11,17.34551746403277,66253,66253,0.8736424864120161,66240,2.539824162061354,6.0,32.0,33,56322.0,54372.0
12,12,15.16109027363396,63964,63964,0.795737041853082,63978,2.460828238440949,2.0,32.0,32,54372.0,54669.0
13,13,18.15513605160864,64300,64300,0.9334340821568144,64290,2.601424755190382,7.0,32.0,32,54669.0,53952.0
14,14,14.29241635361058,63544,63544,0.7392388696653397,63558,2.4057851400156918,2.0,31.0,32,53952.0,51106.0
15,15,10.070354908671506,60414,60414,0.5352259133476704,60406,2.2011340154385044,0.0,31.0,31,51106.0,51426.0
16,16,10.935473228904474,60731,60731,0.576984958541437,60738,2.242504415274055,4.0,30.0,31,51426.0,49788.0
17,17,10.908708784293983,58795,58795,0.59472176835097,58788,2.2589038221966278,0.0,31.0,30,49788.0,51998.0
18,18,11.998689629352302,61306,61306,0.6399480073042917,61298,2.304493516645264,0.0,33.0,31,51998.0,55280.0
19,19,13.186347695115382,65167,65167,0.6643099108500581,65180,2.329315686322844,0.0,33.0,33,55280.0,55955.0
20,20,15.087783596930542,65890,65890,0.7624718616659387,65867,2.428363809730039,4.0,33.0,33,55955.0,55610.0
21,21,13.539920685245091,65487,65487,0.6831849042533543,65510,2.3468501629087504,0.0,30.0,33,55610.0,49338.0
22,22,10.41482582007272,58342,58342,0.5620274097482562,58347,2.2303784192206395,3.0,27.0,30,49338.0,45574.0
23,23,13.284549062188958,53684,53684,0.8070605501507292,53677,2.4742334868316043,1.0,20.0,27,45574.0,33381.0
24,24,8.64010923553454,39372,39372,0.688725977365374,39384,2.353523652478987,1.0,17.0,20,33381.0,26916.0
25,25,5.402130209026761,32006,32006,0.4630486229573119,32016,2.134925377551564,0.0,15.0,17,26916.0,24836.0
26,26,6.630941076515568,29333,29333,0.6856950926647404,29336,2.3524982468661,0.0,16.0,15,24836.0,25381.0
27,27,4.669720568025653,30186,30186,0.4239928447454061,30181,2.085212133687176,0.0,17.0,16,25381.0,26805.0
28,28,4.598003529671299,31911,31911,0.3937191189501038,31905,2.0581037059883283,0.0,20.0,17,26805.0,32515.0
29,29,7.163878916449086,38509,38509,0.5482492055351575,38515,2.2168150687537413,0.0,24.0,20,32515.0,39841.0
30,30,9.791178086492426,47056,47056,0.6507485807539481,47041,2.313501804169889,0.0,27.0,24,39841.0,44984.0
31,31,11.293575220270345,53091,53091,0.6792798618893007,53084,2.343796753196696,0.0,30.0,27,44984.0,50516.0
32,32,13.584709841194876,59519,59519,0.7404025377137928,59525,2.4050750388830653,3.0,31.0,30,50516.0,52563.0
33,33,15.083665603402446,61867,61867,0.8023588072530966,61863,2.4677705204530205,0.0,32.0,31,52563.0,54136.0
34,34,14.116370148996085,63743,63743,0.7407403300866071,63736,2.409792493017638,0.0,33.0,32,54136.0,56074.0
35,35,16.42114248328597,65973,65973,0.8336421645313288,65974,2.502762409622504,0.0,32.0,33,56074.0,53924.0
36,36,14.02723316335502,63534,63534,0.7289684669589187,63530,2.396206035050307,2.0,32.0,32,53924.0,54774.0
37,37,17.993037012693588,64384,64384,0.9348677622624342,64386,2.6014593247413877,4.0,32.0,32,54774.0,53633.0
38,38,13.462411938148506,63219,63219,0.6969983180154684,63236,2.3648017955960268,1.0,31.0,32,53633.0,52543.0
39,39,15.42099109929743,61862,61862,0.8211439681088204,61849,2.489435943939954,2.0,30.0,31,52543.0,49958.0
40,40,11.285694805999752,58947,58947,0.6185674196129283,58958,2.2845835526416867,0.0,30.0,30,49958.0,50607.0
41,41,13.467308253135023,59604,59604,0.7395761155547881,59607,2.4071494676958305,0.0,31.0,30,50607.0,51082.0
42,42,10.451555421701864,60393,60393,0.5517618647772555,60382,2.217277186864753,0.0,33.0,31,51082.0,55382.0
43,43,13.243427309596948,65294,65294,0.6683694449333603,65294,2.334073416818651,4.0,33.0,33,55382.0,56766.0
44,44,19.991258621867104,66692,66692,1.012718206058438,66678,2.680235473828041,4.0,33.0,33,56766.0,55792.0
45,45,15.648755465859402,65692,65692,0.7851517195460123,65698,2.451169001191293,2.0,30.0,33,55792.0,49992.0
46,46,11.539633470453484,58989,58989,0.6329671865531504,58992,2.298981880528629,0.0,27.0,30,49992.0,46183.0
