,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,nextPeriodReward,periodReward
0,0,5.951617690709409,41358,41358,0.363555867250235,41334,1.8627875981761248,0.0,17.0,21,27428.0,35034.0
1,1,4.620400939382594,32516,32516,0.3215470803130568,32528,1.825140616934001,0.0,15.0,17,24422.0,27428.0
2,2,4.316179964182596,28923,28923,0.3454424999979125,28922,1.849730783652892,0.0,15.0,15,23599.0,24422.0
3,3,3.892457277548615,28106,28106,0.2908240797817086,28099,1.791417726881487,0.0,15.0,15,22838.0,23599.0
4,4,3.359002169197397,27335,27335,0.2432671780304602,27338,1.7431747689765351,0.0,18.0,15,30212.0,22838.0
5,5,5.965126200765186,35612,35612,0.4225348966155546,35612,1.922228696142362,0.0,24.0,18,40525.0,30212.0
6,6,6.760993510666971,47734,47734,0.3784549542998495,47725,1.8794430073630783,0.0,27.0,24,44139.0,40525.0
7,7,5.677064612751391,52250,52250,0.276495782893397,52239,1.7738054436662969,0.0,30.0,27,50929.0,44139.0
8,8,7.584218942599194,59930,59930,0.3487096551113029,59929,1.847644104403024,0.0,32.0,30,54372.0,50929.0
9,9,8.086803573357196,63961,63961,0.3540921530321955,63972,1.8545366688309204,0.0,33.0,32,55306.0,54372.0
10,10,7.207874314435189,65212,65212,0.3103102285605909,65206,1.8128217390239088,0.0,34.0,33,56389.0,55306.0
11,11,6.982135364554756,66583,66583,0.2865741808379343,66589,1.7855686940680875,0.0,33.0,34,55267.0,56389.0
12,12,7.520255351828742,65167,65167,0.3153499580568382,65167,1.8132097856954876,0.0,32.0,33,54427.0,55267.0
13,13,8.042141986076164,64035,64035,0.3545705761352808,64027,1.853978571844291,0.0,32.0,32,53067.0,54427.0
14,14,7.024020442930153,62658,62658,0.3002726445486494,62667,1.801070188913117,0.0,31.0,32,52122.0,53067.0
15,15,7.306853971904214,61422,61422,0.3267015879176916,61422,1.8275502753512989,0.0,31.0,31,52418.0,52122.0
16,16,7.520612117426609,61738,61738,0.3390497090805073,61718,1.8348368168875957,0.0,30.0,31,50966.0,52418.0
17,17,7.754240624692411,59957,59957,0.3596159854438691,59966,1.8595626363276343,0.0,30.0,30,50821.0,50966.0
18,18,7.670128181621189,59822,59822,0.3500214242262207,59821,1.8482123651498572,0.0,33.0,30,55700.0,50821.0
19,19,7.681278538812785,65597,65597,0.3259697122432579,65600,1.8256767837768555,0.0,33.0,33,55775.0,55700.0
20,20,7.902067398712608,65668,65668,0.3372581283731547,65675,1.8410616616951907,0.0,33.0,33,55596.0,55775.0
21,21,7.838657923020608,65508,65508,0.3264670686377416,65496,1.824071301764407,0.0,29.0,33,48408.0,55596.0
22,22,6.906381039197813,57098,57098,0.3251360758805144,57108,1.8253781494083647,0.0,27.0,29,45982.0,48408.0
23,23,7.70167468376982,54076,54076,0.3857916022619125,54082,1.8895076493104568,0.0,20.0,27,33644.0,45982.0
24,24,5.967648018472505,39652,39652,0.3861236677795102,39644,1.881780444407536,0.0,17.0,20,28170.0,33644.0
25,25,4.985475649450347,33257,33257,0.3654428747100307,33270,1.867258302734964,0.0,15.0,17,23833.0,28170.0
26,26,3.931917299305443,28333,28333,0.3015725303881158,28333,1.8011811515831322,0.0,16.0,15,25612.0,23833.0
27,27,4.594943635766663,30414,30414,0.3279806074892321,30412,1.8291830594258924,0.0,17.0,16,27926.0,25612.0
28,28,5.086563266346062,33024,33024,0.3624583537243261,33026,1.8602472486475716,0.0,20.0,17,32936.0,27926.0
29,29,5.879008902713719,38939,38939,0.3628022688452846,38936,1.8641915397276505,0.0,25.0,20,40319.0,32936.0
30,30,5.432260877992054,47818,47818,0.2723489558048526,47819,1.7722789124877592,0.0,27.0,25,44816.0,40319.0
31,31,6.227295484129368,52927,52927,0.3106714034506982,52916,1.8109717040897768,0.0,30.0,27,48816.0,44816.0
32,32,5.62126776305285,57818,57818,0.2522441703703985,57816,1.74969079856635,0.0,32.0,30,54231.0,48816.0
33,33,7.953629218677762,63822,63822,0.3539854134381975,63831,1.859765618182208,0.0,32.0,32,54529.0,54231.0
34,34,8.236236144283177,64136,64136,0.3592697550106329,64129,1.857141287122253,0.0,34.0,32,56134.0,54529.0
35,35,7.080781694332385,66325,66325,0.2814056147197585,66334,1.777691264111131,0.0,32.0,34,53460.0,56134.0
36,36,7.11568068307317,63061,63061,0.3073922166723749,63060,1.8097994942327813,0.0,32.0,32,53875.0,53460.0
37,37,7.6311910141165535,63480,63480,0.3285930481471639,63475,1.8300092303856283,0.0,31.0,32,52709.0,53875.0
38,38,8.392992783896696,62007,62007,0.3707150462209723,62009,1.869966263537459,0.0,31.0,31,51374.0,52709.0
39,39,6.781806231569972,60676,60676,0.2965759477989383,60674,1.7952108729240677,0.0,30.0,31,50859.0,51374.0
40,40,7.771963078951706,59856,59856,0.3574301876227789,59859,1.8594291683397453,0.0,30.0,30,50672.0,50859.0
41,41,7.589328003493509,59680,59680,0.3486505457716141,59672,1.8491532406375264,0.0,31.0,30,53075.0,50672.0
42,42,8.602208841510246,62380,62380,0.3883142448741378,62375,1.8878842257184167,0.0,32.0,31,54987.0,53075.0
43,43,8.840783318330063,64585,64585,0.386581949234291,64587,1.8854397877239693,0.0,33.0,32,56130.0,54987.0
44,44,8.192316253394472,66024,66024,0.3514189168527511,66030,1.8551001333683537,0.0,33.0,33,55349.0,56130.0
45,45,7.637320193912421,65262,65262,0.3209842696167253,65249,1.8196538729234844,0.0,29.0,33,48439.0,55349.0
46,46,6.888993346832514,57123,57123,0.3259100692130667,57139,1.8285794250304164,0.0,27.0,29,45970.0,48439.0
47,47,7.42283397585564,54069,54069,0.3788564366270843,54070,1.8802406187127232,0.0,22.0,27,36014.0,45970.0
48,48,5.278263084171655,42612,42612,0.3060027118832591,42614,1.8065838797418703,0.0,18.0,22,29784.0,36014.0
49,49,5.267975760400886,35174,35174,0.3687161414506923,35184,1.8700659296882067,0.0,16.0,18,25442.0,29784.0
